Year,Island,Population,Mericarp.width,Mericarp.length,Mericarp.upper.spine.size,Mericarp.mass,Number.of.seeds.eaten,Presence.of.lower.spines 
2015,Isabella,ECR,3.32,5.68,9.35,0.078,0,1
2015,Isabella,ECR,3.57,5.7,8.59,0.06,0,1
2015,Isabella,ECR,2.5,6.31,7.81,0.046,1,0
2015,Isabella,ECR,3.88,7.61,NA,0.096,2,0
2015,Isabella,ECR,3.24,6.1,NA,0.064,0,1
2015,Isabella,ECR,3,5.77,9.89,0.061,0,1
2015,Isabella,ECR,2.77,5.85,7.5,0.058,0,1
2015,Isabella,ECR,3.66,6.6,NA,0.06,1,0
2015,Isabella,ECR,2.71,5.75,8.29,0.048,1,1
2015,Isabella,ECR,2.61,6.13,9.2,0.061,0,0
2015,Isabella,ECR,3.05,5.73,8.71,0.054,1,1
2015,Isabella,ECR,2.99,6.5,NA,0.04,2,0
2015,Isabella,ECR,2.54,5.42,NA,0.02,2,0
2015,Isabella,ECR,2.82,5.22,NA,0.034,1,0
2015,Isabella,ECR,4,8.21,NA,0.11,2,0
2015,Isabella,ECR,3.04,5.48,NA,0.03,2,0
2015,Isabella,ECR,2.73,5.04,7.24,0.038,0,0
2015,Isabella,ECR,2.48,5.3,9.2,0.023,2,1
2015,Isabella,ECR,3.26,6.77,8.73,0.095,0,1
2015,Isabella,ECR,2.35,5.44,NA,0.03,1,0
2015,Isabella,ECR,2.91,6.59,10.11,0.077,1,1
2015,Isabella,ECR,2.47,4.69,5.45,0.032,1,0
2015,Isabella,ECR,2.04,4.41,7.67,0.027,0,0
2015,Isabella,ECR,2.4,5.17,8.1,0.042,0,1
2015,Isabella,ECR,1.94,6.31,9.03,0.038,1,0
2015,Isabella,ECR,2.75,5.83,NA,0.044,0,0
2015,Isabella,ECR,2.43,4.05,6.46,0.027,0,1
2015,Isabella,ECR,3.86,6.1,10.13,0.1,0,1
2015,Isabella,ECR,2.77,4.46,7.04,0.036,1,1
2015,Isabella,ECR,1.93,4.69,7.5,0.028,0,0
2015,Isabella,ECR,2.5,5.85,NA,0.042,1,1
2015,Isabella,ECR,3.02,6.23,8.58,0.082,0,1
2015,Isabella,ECR,3.03,5.09,6.17,0.042,1,0
2015,Isabella,ECR,3.62,5.58,9.46,0.057,0,1
2015,Isabella,ECR,3.07,5.7,9.56,0.059,0,1
2015,Isabella,ECR,3,5.92,NA,0.051,0,0
2015,Isabella,ECR,2.27,4.84,5.25,0.034,1,0
2015,Isabella,ECR,1.99,3.38,5.58,0.015,0,1
2015,Isabella,ECR,3.07,4.86,8.19,0.045,0,1
2015,Isabella,ECR,3.3,7.39,7.68,0.088,0,0
2015,Isabella,ECR,3.74,5.45,8.34,0.068,0,1
